"State","District","Crop","Season","Area-2024-25","Production-2024-25","Yield-2024-25"
"Odisha","Dhenkanal","Rice","Kharif","0.90","2.82","3122.00"
"Odisha","Dhenkanal","Rice","Summer","0.00","0.01","2182.00"
"Odisha","Dhenkanal","Rice","Total","0.90","2.82","3119.00"
"Odisha","Dhenkanal","Maize","Kharif","0.00","0.00","2572.00"
"Odisha","Dhenkanal","Maize","Summer","0.00","0.01","3029.00"
"Odisha","Dhenkanal","Maize","Total","0.00","0.01","2838.00"
"Odisha","Dhenkanal","Ragi","Kharif","0.00","0.00","521.00"
"Odisha","Dhenkanal","Ragi","Total","0.00","0.00","521.00"
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","521.00"
"Odisha","Dhenkanal","Shree Anna /Nutri Cereals","Total","0.00","0.00","521.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Kharif","0.00","0.00","2369.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Summer","0.00","0.01","3029.00"
"Odisha","Dhenkanal","Nutri/Coarse Cereals","Total","0.00","0.01","2736.00"
"Odisha","Dhenkanal","Cereals","Kharif","0.90","2.82","3121.00"
"Odisha","Dhenkanal","Cereals","Summer","0.00","0.01","2499.00"
"Odisha","Dhenkanal","Cereals","Total","0.91","2.83","3118.00"
"Odisha","Dhenkanal","Moong","Summer","0.05","0.03","611.00"
"Odisha","Dhenkanal","Moong","Total","0.05","0.03","611.00"
"Odisha","Dhenkanal","Total Pulses","Total","0.05","0.03","611.00"
"Odisha","Dhenkanal","Total Food Grains","Kharif","0.90","2.82","3121.00"
"Odisha","Dhenkanal","Total Food Grains","Summer","0.05","0.04","784.00"
"Odisha","Dhenkanal","Total Food Grains","Total","0.95","2.86","2996.00"
"Odisha","Gajapati","Rice","Kharif","0.33","0.62","1866.00"
"Odisha","Gajapati","Rice","Summer","0.02","0.03","1894.00"
"Odisha","Gajapati","Rice","Total","0.35","0.64","1867.00"
"Odisha","Gajapati","Maize","Kharif","0.17","0.43","2501.00"
"Odisha","Gajapati","Maize","Summer","0.00","0.00","1950.00"
"Odisha","Gajapati","Maize","Total","0.17","0.43","2497.00"
"Odisha","Gajapati","Ragi","Kharif","0.00","0.00","543.00"
"Odisha","Gajapati","Ragi","Total","0.00","0.00","543.00"
"Odisha","Gajapati","Shree Anna /Nutri Cereals","Kharif","0.00","0.00","543.00"
